"C:\Program Files\Java\jdk-10.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.1\lib\idea_rt.jar=49996:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\Users\perni\OneDrive\Documents\DataIng\2. Klasse\Vår\Kjemi\Assignment\out\production\Assignment" Element
Element{atomicNumber=1, symbol='H', name='hydrogen', empirical_radius=25, calculated_radius=53, mass=1.0079}
Element{atomicNumber=2, symbol='He', name='helium', empirical_radius=120, calculated_radius=31, mass=4.0026}
Element{atomicNumber=3, symbol='Li', name='lithium', empirical_radius=145, calculated_radius=167, mass=6.941}
Element{atomicNumber=4, symbol='Be', name='beryllium', empirical_radius=105, calculated_radius=112, mass=9.0122}
Element{atomicNumber=5, symbol='B', name='boron', empirical_radius=85, calculated_radius=87, mass=10.811}
Element{atomicNumber=6, symbol='C', name='carbon', empirical_radius=70, calculated_radius=67, mass=12.0107}
Element{atomicNumber=7, symbol='N', name='nitrogen', empirical_radius=65, calculated_radius=56, mass=14.0067}
Element{atomicNumber=8, symbol='O', name='oxygen', empirical_radius=60, calculated_radius=48, mass=15.9994}
Element{atomicNumber=9, symbol='F', name='fluorine', empirical_radius=50, calculated_radius=42, mass=18.9984}
Element{atomicNumber=10, symbol='Ne', name='neon', empirical_radius=160, calculated_radius=38, mass=20.1797}
Element{atomicNumber=11, symbol='Na', name='sodium', empirical_radius=180, calculated_radius=190, mass=22.9897}
Element{atomicNumber=12, symbol='Mg', name='magnesium', empirical_radius=150, calculated_radius=145, mass=24.305}
Element{atomicNumber=13, symbol='Al', name='aluminium', empirical_radius=125, calculated_radius=118, mass=26.9815}
Element{atomicNumber=14, symbol='Si', name='silicon', empirical_radius=110, calculated_radius=111, mass=28.0855}
Element{atomicNumber=15, symbol='P', name='phosphorus', empirical_radius=100, calculated_radius=98, mass=30.9738}
Element{atomicNumber=16, symbol='S', name='sulfur', empirical_radius=100, calculated_radius=100, mass=32.065}
Element{atomicNumber=17, symbol='Cl', name='chlorine', empirical_radius=100, calculated_radius=79, mass=35.453}
Element{atomicNumber=18, symbol='Ar', name='argon', empirical_radius=71, calculated_radius=71, mass=39.0983}
Element{atomicNumber=19, symbol='K', name='potassium', empirical_radius=220, calculated_radius=243, mass=39.948}
Element{atomicNumber=20, symbol='Ca', name='calcium', empirical_radius=180, calculated_radius=194, mass=40.078}
Element{atomicNumber=21, symbol='Sc', name='scandium', empirical_radius=160, calculated_radius=184, mass=44.9559}
Element{atomicNumber=22, symbol='Ti', name='titanium', empirical_radius=140, calculated_radius=176, mass=47.867}
Element{atomicNumber=23, symbol='V', name='vanadium', empirical_radius=135, calculated_radius=171, mass=50.9415}
Element{atomicNumber=24, symbol='Cr', name='chromium', empirical_radius=140, calculated_radius=166, mass=51.9961}
Element{atomicNumber=25, symbol='Mn', name='manganese', empirical_radius=140, calculated_radius=161, mass=54.938}
